"X","Y","E","N","CRS","s2tile","l89_path","l89_row"
55.1061638827999,57.9773220093706,387995,6427755,32640,"40VCK",167,20
107.728640504588,73.8804503698867,584535,8200635,32648,"48XWH",144,8
-47.7190541187726,81.187716542405,556085,9015745,32622,"22XER",29,247
77.1080872343521,37.4919452394379,686365,4151535,32643,"43SFB",148,34
135.81806394752,47.0677262137941,562115,5213015,32653,"53TNN",112,27
3.5349679465488,8.33321100533978,558905,921175,32631,"31PEK",191,54
58.3744409139134,74.7987194278554,540225,8301615,32640,"40XEJ",180,7
116.536564085461,30.9948650528731,455755,3429125,32650,"50RMV",121,39
142.783243181452,-14.4564474748313,692215,8401045,32754,"54LXK",98,70
84.1771438011592,42.9376974124168,759235,4758795,32644,"44TQN",144,30
12.8261183628791,4.05431529978509,258645,448455,32633,"33NTE",184,57
140.837746228541,68.3683791346031,493325,7583945,32654,"54WVA",118,12
99.5282337190973,47.2586688833004,539965,5234045,32647,"47TNN",135,27
-60.4957807017079,-51.8348470174502,672535,4254365,32720,"20FPH",222,96
-58.9865697900963,-21.9305162973184,294815,7573535,32721,"21KTR",227,75
67.9695143023812,54.4506772691231,433185,6034155,32642,"42UVF",158,22
27.9671230981546,56.5192765767444,559505,6264295,32635,"35VNC",184,21
-49.0327923124948,82.2120424762225,529755,9129005,32622,"22XES",29,247
43.4419953291217,66.1388506390338,700375,7342495,32637,"37WFP",178,14
-79.3355805876865,70.4563411714276,562135,7817615,32617,"17WNU",29,10
-35.5153060629085,81.4320639348954,557925,9043175,32624,"24XWR",13,248
143.72989975155,63.2239952687965,637185,7013465,32654,"54VXR",112,16
56.0806879643328,46.3570945138544,429275,5134135,32640,"40TDS",164,28
-146.487989653847,68.7226660867337,520735,7623525,32606,"06WWB",71,12
75.6715010769016,16.8492956465039,571535,1863005,32643,"43QEU",146,48
-61.2074876209087,6.35757069920228,698275,703075,32620,"20NPN",233,56
91.1542618254576,49.3750678913992,801525,5477455,32645,"45UYQ",141,26
-1.77203608270524,15.9162249605073,631445,1760055,32630,"30PXC",196,49
-103.305362746082,52.7057443035207,614495,5840885,32613,"13UFU",36,23
14.2731337562662,42.5513867351176,440325,4711255,32633,"33TVH",190,30
-37.8055080716295,71.5477388513229,542195,7938905,32624,"24WWE",4,9
26.2619691854647,-3.71713402601498,418045,9589105,32735,"35MMR",175,63
-91.8999974102984,15.4832126456068,617995,1712075,32615,"15PXT",21,49
14.3886950800881,8.4822507727084,432715,937665,32633,"33PVK",184,54
66.9785982514273,57.3818150999374,378475,6361695,32642,"42VUJ",160,20
26.0170392209822,20.8180699060191,397715,2302325,32635,"35QLD",178,46
41.3200689419993,26.5591814162217,731115,2939705,32637,"37RGK",169,42
92.8996170539006,51.9110070557138,493095,5751145,32646,"46UDC",141,24
-115.16603172052,47.0506524325777,639295,5212425,32611,"11TPN",41,27
96.9999535420851,63.7743426805671,697125,7078045,32646,"46VFR",144,15
-39.3308027673002,81.5824905230923,592505,9062755,32623,"23XNL",29,1
-54.1405288995264,80.6041751910315,552095,8950305,32621,"21XWK",36,1
-60.4894859908192,-9.32384300744207,775775,8968365,32720,"20LQQ",230,66
56.790917125155,68.0414914406073,491275,7547505,32640,"40WDA",173,12
11.6681495859514,43.2591901952577,716565,4793055,32632,"32TQN",192,30
131.238842417354,44.1667866990329,678995,4892835,32652,"52TFP",114,29
117.309623562529,64.0541500634053,515115,7103085,32650,"50WNS",130,15
5.60997533158208,60.710036263835,315035,6735265,32632,"32VLN",201,18
-60.1614012023982,78.0043892515453,565835,8660455,32620,"20XNM",29,4
128.219288915722,72.1116962318078,678735,8009145,32651,"51XXA",130,9
120.827706330784,59.3156338048788,376355,6577215,32651,"51VUF",125,19
115.134298279227,1.09707831866475,292395,121325,32650,"50NKG",118,59
123.868061698594,-21.7592792571653,589755,7593565,32751,"51KWR",109,75
13.2218963777196,18.7427180097022,312545,2073295,32633,"33QUA",186,47
-132.288891988237,60.2660670188338,649975,6684125,32608,"08VPM",57,18
104.153465102945,66.0899522648707,461715,7330195,32648,"48WVU",141,13
-43.5353035124669,73.7170590984811,545835,8181035,32623,"23XNB",11,8
-58.8030343015429,-5.9675586307216,300415,9340055,32721,"21MTP",229,64
52.6429288774474,50.1170287297719,617455,5552935,32639,"39UXR",166,25
-38.6631593863363,-5.59119149924889,537305,9381975,32724,"24MWU",216,64
-54.4280784154725,-32.7100147833774,741075,6377935,32721,"21HYD",222,83
-156.37882562423,67.2525951473126,613075,7461925,32604,"04WFV",77,13
36.4892144583105,63.3629957280004,674475,7030785,32636,"36VXR",182,16
-146.505471910669,68.8141095215626,519945,7633715,32606,"06WWB",71,12
16.2843297728613,79.5860147205172,525915,8835665,32633,"33XWJ",221,2
150.588507474726,64.8016065007146,670405,7191175,32655,"55WFM",109,15
-93.122302350917,76.2931073856449,496765,8467895,32615,"15XVE",45,6
-125.579876909921,67.4578534402202,646255,7486455,32609,"09WXQ",57,13
-50.2838662695418,72.1991801257465,524435,8011295,32622,"22XEF",13,9
-33.1859090238443,74.702341972213,494525,8290405,32625,"25XDC",4,7
-54.5003153064231,-12.7417626533067,771425,8590115,32721,"21LYF",226,69
-79.7995466835503,77.7092584109602,528525,8626215,32617,"17XNG",43,4
-56.8378284659585,78.2231180891741,503695,8683275,32621,"21XVG",29,4
-115.263607272598,75.3315134795807,549075,8361315,32611,"11XND",61,6
108.302301516075,64.7859754547303,656915,7188695,32648,"48WXS",136,15
31.9228291038705,58.8043315283019,437765,6518765,32636,"36VVL",183,19
96.6240040529829,79.7185198710115,572165,8852415,32646,"46XEP",164,3
-96.5713438362336,58.3844332851713,641995,6474075,32614,"14VPK",34,19
57.0384678536826,65.8671690814106,501755,7305105,32640,"40WDU",171,14
46.2019724511584,56.9643028835659,573085,6314055,32638,"38VNJ",173,20
-93.8871505338918,68.2191769145932,463265,7567565,32615,"15WVR",36,12
-86.5328421450945,33.6147106503942,543335,3719535,32616,"16SEC",20,37
73.2111310460533,45.8839087852211,361195,5082705,32643,"43TCL",153,28
116.17663229045,48.5237696005332,439205,5374845,32650,"50UMU",125,26
118.055320347691,39.501071627995,590735,4372915,32650,"50SNJ",122,33
124.608609129278,48.2102048255181,619505,5340915,32651,"51UXP",119,27
15.1650830844545,6.42578424094544,518255,710275,32633,"33NWH",183,56
98.8220587458737,76.2090124102449,495265,8458515,32647,"47XME",157,5
13.9128707767723,19.7333121933278,386085,2182335,32633,"33QUB",186,46
-107.794383083227,32.7046023283656,800515,3623085,32612,"12SYB",34,37
-91.9873208495527,73.5407496227204,532025,8161075,32615,"15XWB",41,8
-46.932479384845,81.2370901759073,569125,9022095,32622,"22XER",29,247
-43.0404888667334,67.382108923728,584085,7475305,32623,"23WNQ",4,13
3.91564026312137,32.3115258601834,586195,3575335,32631,"31SER",194,38
167.572195523837,67.2586841605792,610935,7462515,32658,"58WFV",100,13
150.310989723604,70.8952416532356,620895,7869015,32655,"55WFU",114,10
-114.755460469017,30.2766598851834,715905,3351575,32611,"11RQP",38,39
44.9833915721159,27.8658757860952,498365,3082345,32638,"38RMR",167,41
-3.18273859183488,38.3609932008345,484035,4245885,32630,"30SVH",200,33
-83.6863000351378,37.7105865029203,792115,4178875,32616,"16SGG",19,34
123.364974245023,68.0950366347662,515195,7553505,32651,"51WWR",130,12
32.613981327003,65.1002703437622,481865,7219685,32636,"36WVT",185,14
22.4942054694938,20.9895350915775,655315,2321715,32634,"34QFJ",181,45
-68.7419771343125,47.5205424175486,519425,5263045,32619,"19TEN",11,27
146.333161153592,-8.39089809713057,426585,9072425,32755,"55LDL",96,66
31.1029897968833,59.0168552682375,391075,6543475,32636,"36VUL",183,19
-48.2026487144778,74.0347015564919,585855,8217925,32622,"22XEH",13,8
-113.621725595615,41.0293492800949,784015,4547515,32611,"11TQF",39,32
-109.316060111967,36.6528623417209,650515,4057685,32612,"12SXF",35,35
-94.3474132753457,67.4390598561887,699045,7487795,32614,"14WPV",36,13
23.9654528400854,4.45835760319316,829135,493455,32634,"34NHK",177,57
127.692650756486,0.766875033105616,354525,84785,32652,"52NCF",110,59
169.874680247782,65.8935532505706,448715,7308505,32659,"59WMP",98,14
106.127585330994,69.72541396855,543605,7735655,32648,"48WWC",141,11
121.094859434853,61.2546772006567,397795,6792645,32651,"51VUH",126,17
48.2702369530293,30.09237380007,236915,3332165,32639,"39RTP",165,39
42.0888249086572,56.1873420540403,691675,6231225,32637,"37VFC",176,21
29.4825008546214,45.6000097608879,693605,5052605,32635,"35TPL",180,28
107.175613731561,74.1689329071545,566235,8232095,32648,"48XWH",148,7
147.90044012479,65.1294688325499,542255,7223185,32655,"55WEN",112,14
76.4890326217453,16.3547180983532,659045,1808755,32643,"43QFU",145,49
-118.446930330363,72.3199759307111,654205,8030465,32610,"10XFF",57,9
3.99191602199222,27.0012004982534,598415,2986955,32631,"31REK",194,41
68.506491900664,70.7429868778058,702445,7857925,32641,"41WPU",166,10
83.1011921222598,57.9603177920901,624325,6426225,32644,"44VPK",150,19
95.7736795497327,62.1240454392064,644655,6891095,32646,"46VFP",144,16
55.1665362966989,55.7887067545669,385035,6184085,32640,"40UCG",166,21
-76.4064608256174,44.8003561208783,388765,4961735,32618,"18TUQ",16,29
151.526749682863,-27.2335784661466,354125,6986835,32756,"56JLQ",90,79
44.1341600529929,41.4016297246882,427625,4583705,32638,"38TML",170,31
22.578155888005,25.0381932195612,659215,2770105,32634,"34RFN",181,43
64.7069424987797,47.0061819051349,629755,5207265,32641,"41TPN",158,27
-70.2613642652711,64.8306284013074,440145,7190175,32619,"19WDM",20,14
-71.7783473013968,82.0798753394755,549535,9115125,32618,"18XWS",45,247
18.5111047004301,-10.7234629399602,884145,8812405,32733,"33LZJ",179,67
-34.4021189754069,67.1910547667733,698755,7460035,32624,"24WXV",230,13
84.5244372353264,47.0460821383683,767705,5216315,32644,"44TQT",146,27
147.279169305189,-22.8800178679558,528635,7469735,32755,"55KEQ",94,76
14.3962041757366,45.281188912192,452645,5014365,32633,"33TVL",190,29
-67.5549897729116,78.435617737254,532335,8707385,32619,"19XEH",36,4
7.46800350567373,12.2654031484177,333375,1356375,32632,"32PLU",189,52
-139.856801429443,64.1695332350189,555575,7116405,32607,"07WEM",64,15
41.2826518672329,44.7865596505902,680575,4961775,32637,"37TFK",173,29
70.0675329517599,47.9724989842934,579675,5313795,32642,"42UWU",155,27
-81.0953566933126,79.4176103802967,498045,8816585,32617,"17XMJ",45,3
54.4951889435751,44.2445236952174,779075,4904975,32639,"39TYK",164,29
75.6015034418662,37.7561931076834,552985,4178935,32643,"43SEB",149,34
24.831903045094,48.0317399045257,785645,5326935,32634,"34UGU",184,27
6.05471095875439,31.3140259982086,790725,3468435,32631,"31RGQ",193,38
172.667593767547,-43.4647302038257,634895,5186225,32759,"59GPM",73,90
105.005876868227,70.8654001841149,500215,7862385,32648,"48WVD",144,10
-27.7748931002501,77.1448565880971,480755,8563065,32626,"26XML",4,5
23.826016762096,30.8490719147042,770265,3416295,32634,"34RGV",181,39
108.731377052691,44.5698640962588,796285,4941945,32648,"48TYQ",129,29
91.8839254449013,27.9448562068811,390205,3091595,32646,"46RCR",137,41
79.5167638224476,69.9090072751906,673025,7762135,32643,"43WFT",160,11
-116.714396333981,43.4591564263124,523105,4811845,32611,"11TNJ",42,30
-26.4685233254285,75.209368781562,515145,8347035,32626,"26XNJ",2,6
-27.526970936219,69.8026674089249,479695,7743955,32626,"26WMC",228,11
110.735260142434,65.5328274912117,487765,7267865,32649,"49WDN",135,14
14.5135465587492,60.7761724657607,473505,6737955,32633,"33VVH",196,17
116.517074619138,58.7012267885867,472015,6506885,32650,"50VML",128,19
57.9901371842503,56.0417197040495,561685,6211165,32640,"40VEH",166,21
-72.4896074861701,-8.59132125696427,776315,9049425,32718,"18LYR",5,66
21.9184882131468,11.0830327203837,600315,1225315,32634,"34PET",180,52
115.047142047247,-22.3987960334946,298965,7521725,32750,"50KKA",115,75
53.7124739709563,72.7831429286498,589585,8078315,32639,"39XWA",180,8
-69.6849890749793,-30.1226585941376,434015,6667425,32719,"19JDG",233,81
-93.9888020999342,50.7905978256033,430305,5627005,32615,"15UVS",29,25
16.4289596418383,-26.8547279336263,641965,7028855,32733,"33JXL",178,79
-48.945879094914,77.8009539887697,548445,8637005,32622,"22XEM",23,4
144.26560178625,61.434310623633,674155,6815525,32654,"54VXP",112,17
-52.4317305529522,76.9831855406674,464005,8545335,32622,"22XDL",20,5
110.779564699777,65.2569981801759,489705,7237115,32649,"49WDN",134,14
-84.0133177670926,81.8056044400971,547505,9084355,32616,"16XER",45,248
47.1448715232148,48.7804159743094,657565,5405265,32638,"38UPV",170,26
